Data;Consumo
2003.03;13659
2003.04;13279
2003.05;13387
2003.06;13100
2003.07;12993
2003.08;13259
2003.09;13115
2003.10;13829
2003.11;13862
2003.12;14042
2004.01;13505
2004.02;13229
2004.03;13356
2004.04;13796
2004.05;14085
2004.06;14081
2004.07;14213
2004.08;14320
2004.09;14723
2004.10;14981
2004.11;14834
2004.12;14772
2005.01;15040
2005.02;14528
2005.03;14852
2005.04;15550
2005.05;14987
2005.06;15164
2005.07;14815
2005.08;14904
2005.09;15285
2005.10;15245
2005.11;15468
2005.12;15242
2006.01;17289
2006.02;16809
2006.03;17006
2006.04;16122
2006.05;16260
2006.06;15473
2006.07;15209
2006.08;15789
2006.09;15860
2006.10;15890
2006.11;16723
2006.12;16690
2007.01;16528
2007.02;16512
2007.03;17593
2007.04;17664
2007.05;17337
2007.06;16896
2007.07;16622
2007.08;17013
2007.09;17586
2007.10;17489
2007.11;17983
2007.12;17622
2008.01;17552
2008.02;17445
2008.03;17566
2008.04;17576
2008.05;17862
2008.06;17415
2008.07;17747
2008.08;18282
2008.09;18157
2008.10;18526
2008.11;18439
2008.12;16842
2009.01;16346
2009.02;16418
2009.03;17161
2009.04;17282
2009.05;16781
2009.06;16620
2009.07;16936
2009.08;17469
2009.09;17796
2009.10;18111
2009.11;18388
2009.12;18492
2010.01;17684
2010.02;18113
2010.03;18522
2010.04;18825
2010.05;18240
2010.06;18213
2010.07;17936
2010.08;18657
2010.09;18980
2010.10;18818
2010.11;18710
2010.12;19306
2011.01;19248
2011.02;19218
2011.03;19391
2011.04;19369
2011.05;18909
2011.06;18738
2011.07;18732
2011.08;19249
2011.09;19754
2011.10;19385
2011.11;19379
2011.12;19298
2012.01;18914
2012.02;19338
2012.03;20229
2012.04;20294
2012.05;19243
2012.06;19341
2012.07;18761
2012.08;19391
2012.09;19903
2012.10;19836
2012.11;20484
2012.12;19504
2013.01;20088
2013.02;19774
2013.03;19905
2013.04;20096
2013.05;19910
2013.06;19651
2013.07;19330
2013.08;19837
2013.09;20026
2013.10;20324
2013.11;20764
2013.12;20380
2014.01;20638
2014.02;21500
2014.03;20722
2014.04;20299
2014.05;20005
2014.06;19162
2014.07;19080
2014.08;19329
2014.09;19414
2014.10;20242
2014.11;20794
2014.12;20099
2015.01;20859
2015.02;20774
2015.03;20148
2015.04;20094
2015.05;19176
2015.06;18623
2015.07;18400
2015.08;18947
2015.09;18778
2015.10;19695
2015.11;19711
2015.12;19231
2016.01;19188
2016.02;19370
2016.03;19503
2016.04;20442
2016.05;19230
2016.06;18531
2016.07;18307
2016.08;18612
2016.09;19188
2016.10;19064
2016.11;19309
2016.12;19180
2017.01;19679
