região onde foi realizada a entrevista;idade: qual a sua idade (em anos completos)?;área;sexo;cor ou raça;última série escolar que concluiu com aprovação;até que série o seu pai estudou;até que série a sua mãe estudou;renda total do chefe da família no último mês;renda total de todos os moradores (parentes e agregados) no último mês;número de moradores no domicílio (parentes e agregados);no último mês, alguma pessoa deste domicílio recebeu rendimentos do bolsa famíli;religião;mulheres que usam roupas que mostram o corpo merecem ser atacadas;as mulatas são mais fogosas do que as mulheres brancas;dá para entender que um homem que cresceu em uma família violenta agrida sua mul;os homens devem ser a cabeça do lar;casos de violência dentro de casa devem ser discutidos somente entre os membros ;incomoda ver dois homens, ou duas mulheres, se beijando na boca em público;se as mulheres soubessem como se comportar, haveria menos estupros;homem que bate na esposa tem que ir para a cadeia;é violência falar mentiras sobre uma mulher para os outros;toda mulher sonha em se casar;o que acontece com o casal em casa não interessa aos outros;quando há violência, os casais devem se separar;casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais;dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo;um homem pode xingar e gritar com sua própria mulher;é da natureza do homem ser violento;em briga de marido e mulher, não se mete a colher;a roupa suja deve ser lavada em casa;uma mulher só se sente realizada quando tem filhos/as;a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade;piada de preto é só brincadeira, não é racismo;um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulh;mulher que é agredida e continua com o parceiro gosta de apanhar;casamento de homem com homem ou de mulher com mulher deve ser proibido;a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos;a questão da violência contra as mulheres recebe mais importância do que merece;tem mulher que é pra casar, tem mulher que é pra cama
NORDESTE;43;urbano;feminino;parda;primeira série médio;não sabe;não sabe;730;730;4;2;católica;concorda total;ns;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total;neutro;concorda total;neutro;discorda total;discorda total;concorda total
NORDESTE;42;urbano;masculino;parda;quinta série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;1300;1400;4;1;católica;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total
NORDESTE;33;urbano;feminino;parda;segunda série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;800;800;3;1;NS;discorda parcial;discorda total;concorda total;concorda parcial;discorda parcial;concorda parcial;discorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;discorda parcial;discorda total;discorda parcial;discorda parcial;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;discorda parcial;discorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda parcial
SUDESTE;34;metropolitano;feminino;branca;médio completo;sétima série fundamental;sétima série fundamental;1200;2000;4;1;católica;discorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total
SUDESTE;36;metropolitano;feminino;branca;médio completo;quarta série fundamental completa;quarta série fundamental completa;1800;2500;5;2;católica;discorda total;discorda total;discorda total;discorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda parcial;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
NORDESTE;65;urbano;feminino;preta;segunda série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;678;678;2;2;católica;concorda total;concorda parcial;discorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda parcial;concorda parcial;neutro;concorda parcial;discorda total;discorda total;discorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;concorda parcial
SUDESTE;39;metropolitano;feminino;branca;médio completo;quarta série fundamental completa;quarta série fundamental completa;1200;2000;3;2;evangélica;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;concorda total;discorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda parcial
SUDESTE;41;metropolitano;masculino;indígena;quarta série fundamental incompleta;primeira série fundamental;médio completo;300;600;3;2;católica;discorda total;concorda total;discorda total;concorda parcial;concorda total;discorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda parcial
SUDESTE;39;metropolitano;masculino;branca;médio completo;quinta série fundamental;quinta série fundamental;800;1200;3;2;católica;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;discorda parcial;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;38;metropolitano;feminino;preta;médio completo;terceira série fundamental;terceira série fundamental;800;2000;4;2;evangélica;discorda total;discorda total;discorda total;discorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial
SUDESTE;54;urbano;feminino;parda;médio completo;não sabe;não sabe;680;1500;3;2;católica;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total
SUDESTE;45;urbano;feminino;preta;médio completo;analfabeto ou sem instrução;médio completo;700;700;2;2;católica;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;concorda total;neutro;discorda total;discorda total;discorda total;discorda total
NORDESTE;34;urbano;feminino;preta;médio completo;quarta série fundamental completa;superior completo;;;4;1;católica;discorda total;ns;discorda total;discorda total;concorda parcial;discorda total;ns;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;ns;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;concorda total
NORDESTE;26;urbano;feminino;branca;fundamental completa;não sabe;terceira série fundamental;450;500;6;1;sem;discorda total;discorda total;concorda total;discorda total;concorda total;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda parcial;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total
NORDESTE;38;urbano;masculino;branca;quinta série fundamental;quinta série fundamental;fundamental completa;678;800;6;1;católica;discorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total
NORDESTE;47;urbano;feminino;parda;sexta série fundamental;não sabe;não sabe;600;600;6;1;católica;concorda total;ns;discorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;ns;concorda total;concorda total;concorda total;discorda total;concorda total
NORDESTE;44;urbano;feminino;branca;fundamental completa;analfabeto ou sem instrução;analfabeto ou sem instrução;678;678;6;1;católica;discorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda parcial;discorda total;concorda total;ns;concorda total;discorda total;discorda total;discorda total;concorda total
