região onde foi realizada a entrevista;idade: qual a sua idade (em anos completos)?;área;sexo;cor ou raça;última série escolar que concluiu com aprovação;até que série o seu pai estudou;até que série a sua mãe estudou;renda total do chefe da família no último mês;renda total de todos os moradores (parentes e agregados) no último mês;número de moradores no domicílio (parentes e agregados);no último mês, alguma pessoa deste domicílio recebeu rendimentos do bolsa famíli;religião;mulheres que usam roupas que mostram o corpo merecem ser atacadas;as mulatas são mais fogosas do que as mulheres brancas;dá para entender que um homem que cresceu em uma família violenta agrida sua mul;os homens devem ser a cabeça do lar;casos de violência dentro de casa devem ser discutidos somente entre os membros ;incomoda ver dois homens, ou duas mulheres, se beijando na boca em público;se as mulheres soubessem como se comportar, haveria menos estupros;homem que bate na esposa tem que ir para a cadeia;é violência falar mentiras sobre uma mulher para os outros;toda mulher sonha em se casar;o que acontece com o casal em casa não interessa aos outros;quando há violência, os casais devem se separar;casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais;dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo;um homem pode xingar e gritar com sua própria mulher;é da natureza do homem ser violento;em briga de marido e mulher, não se mete a colher;a roupa suja deve ser lavada em casa;uma mulher só se sente realizada quando tem filhos/as;a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade;piada de preto é só brincadeira, não é racismo;um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulh;mulher que é agredida e continua com o parceiro gosta de apanhar;casamento de homem com homem ou de mulher com mulher deve ser proibido;a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos;a questão da violência contra as mulheres recebe mais importância do que merece;tem mulher que é pra casar, tem mulher que é pra cama
NORDESTE;24;metropolitano;masculino;preta;médio completo;segunda série médio;médio completo;1016;;6;2;evangélica;discorda total;discorda total;concorda total;concorda total;neutro;concorda parcial;discorda total;concorda total;discorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;discorda parcial;concorda parcial;discorda parcial;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda parcial
NORDESTE;43;metropolitano;feminino;preta;médio completo;primeira série fundamental;primeira série fundamental;;;2;2;católica;concorda total;discorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;discorda total;concorda total;concorda total;neutro;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda parcial;neutro;concorda parcial;discorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;neutro
SUL;34;urbano;masculino;parda;fundamental completa;analfabeto ou sem instrução;analfabeto ou sem instrução;1000;2000;2;2;católica;discorda total;neutro;concorda parcial;concorda parcial;discorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda total;concorda total;discorda total;concorda parcial;concorda total
SUL;34;urbano;feminino;parda;médio completo;segunda série fundamental;segunda série fundamental;1300;1800;5;1;católica;discorda total;neutro;concorda parcial;concorda total;concorda total;discorda parcial;discorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;discorda parcial;discorda parcial;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda parcial;discorda total;discorda total;concorda total
SUDESTE;38;metropolitano;masculino;branca;médio completo;médio completo;médio completo;1500;1500;4;2;católica;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;concorda total;concorda total
SUL;29;urbano;feminino;parda;oitava série fundamental incompleta;primeira série fundamental;primeira série fundamental;800;800;6;1;católica;discorda total;discorda parcial;concorda parcial;discorda total;concorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total
SUDESTE;28;metropolitano;feminino;parda;fundamental completa;médio completo;médio completo;800;800;3;2;católica;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda total;discorda total;discorda total;concorda total
NORTE;54;urbano;masculino;parda;médio completo;não sabe;não sabe;8000;13000;8;2;evangélica;concorda parcial;concorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;discorda total;concorda parcial;discorda total
NORTE;57;urbano;feminino;parda;sétima série fundamental;analfabeto ou sem instrução;quarta série fundamental incompleta;800;800;4;2;católica;discorda total;ns;discorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda parcial;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;concorda parcial;concorda total
SUL;31;urbano;masculino;parda;médio completo;primeira série fundamental;analfabeto ou sem instrução;1200;1800;2;2;católica;discorda total;neutro;discorda total;discorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda parcial;discorda total;discorda total;concorda parcial;discorda total;discorda total;concorda parcial
SUDESTE;40;metropolitano;feminino;parda;fundamental completa;não sabe;não sabe;800;800;3;2;evangélica;concorda total;discorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;ns;neutro;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total
SUL;66;urbano;feminino;parda;primeira série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;;660;;2;evangélica;discorda total;neutro;discorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;concorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda parcial;discorda total;concorda parcial
SUL;17;urbano;feminino;parda;oitava série fundamental incompleta;sexta série fundamental;primeira série fundamental;;660;2;2;católica;discorda total;neutro;discorda total;discorda total;discorda total;discorda parcial;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total
SUL;25;urbano;feminino;branca;cursou superior sem concluir;terceira série fundamental;médio completo;1400;5000;6;2;católica;concorda parcial;neutro;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda parcial;concorda parcial;concorda total;discorda parcial;discorda total;discorda parcial;concorda parcial;concorda total;discorda parcial;concorda total;discorda parcial;discorda parcial
SUDESTE;52;metropolitano;feminino;parda;fundamental completa;não sabe;superior completo;500;500;3;1;evangélica;discorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;concorda total
SUDESTE;33;metropolitano;feminino;branca;quarta série fundamental incompleta;analfabeto ou sem instrução;segunda série fundamental;672;672;3;2;católica;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda total;ns;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;ns;concorda total;concorda total;discorda total;concorda total;concorda total
SUL;63;urbano;masculino;parda;terceira série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;800;800;2;2;evangélica;discorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;discorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;discorda parcial;concorda parcial;concorda total
SUDESTE;22;metropolitano;feminino;branca;sétima série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;700;700;3;2;católica;concorda parcial;discorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;concorda parcial;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda parcial;concorda parcial;discorda total;concorda total;concorda total
SUDESTE;16;metropolitano;feminino;branca;fundamental completa;quarta série fundamental completa;sexta série fundamental;672;672;5;1;evangélica;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total
SUDESTE;24;metropolitano;feminino;branca;sétima série fundamental;quarta série fundamental completa;quarta série fundamental completa;800;800;3;2;católica;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;ns;concorda parcial;discorda total;concorda total;concorda total;discorda parcial;neutro;concorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;neutro;concorda parcial;concorda total;discorda total;concorda total;concorda total
SUDESTE;66;urbano;masculino;branca;superior completo;terceira série médio incompleto;médio completo;4500;8000;2;2;católica;discorda total;discorda parcial;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;neutro;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda parcial;discorda total;concorda parcial;neutro;discorda total;discorda total;discorda total
SUDESTE;60;urbano;feminino;branca;sexta série fundamental;quarta série fundamental completa;quarta série fundamental completa;3000;5200;4;2;espírita;discorda total;discorda total;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;neutro;discorda total;neutro;discorda total;discorda total;discorda total
SUDESTE;69;urbano;masculino;parda;cursou superior sem concluir;quarta série fundamental completa;quarta série fundamental completa;5000;9000;3;2;católica;discorda total;concorda parcial;discorda total;concorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;concorda total;neutro;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;ns;discorda total;concorda parcial;discorda total;discorda total;discorda total
SUDESTE;52;urbano;feminino;branca;médio completo;quarta série fundamental completa;quarta série fundamental completa;1900;4000;4;2;católica;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;concorda total;ns;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda parcial;discorda total;discorda total;concorda parcial;discorda total;discorda total;discorda total
SUDESTE;68;urbano;masculino;parda;médio completo;quarta série fundamental completa;quarta série fundamental completa;4000;7600;4;2;evangélica;discorda total;discorda total;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total
NORDESTE;37;urbano;masculino;parda;sétima série fundamental;não sabe;sétima série fundamental;1800;2000;4;2;católica;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;concorda total;discorda parcial;concorda total;concorda parcial;discorda total;concorda total;concorda total
NORDESTE;25;urbano;feminino;parda;sétima série fundamental;não sabe;não sabe;678;1300;3;1;católica;discorda parcial;concorda total;discorda parcial;discorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;discorda total;concorda total;concorda total;concorda parcial;discorda parcial;concorda total;discorda total;concorda parcial;discorda total;discorda total;discorda parcial;discorda total;concorda total
NORDESTE;25;urbano;feminino;parda;sexta série fundamental;quarta série fundamental incompleta;analfabeto ou sem instrução;700;700;3;1;católica;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda parcial;discorda total;concorda total;discorda total;concorda parcial;concorda total;concorda total;discorda parcial;discorda total;discorda parcial;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial
SUDESTE;46;urbano;masculino;branca;superior completo;superior completo;superior completo;;8000;4;2;católica;discorda total;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;neutro;discorda total;discorda total;discorda total;discorda total;concorda parcial
NORDESTE;33;urbano;feminino;parda;fundamental completa;quarta série fundamental completa;quarta série fundamental completa;370;370;2;1;evangélica;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;concorda total;discorda total;concorda total;concorda total
SUDESTE;60;urbano;masculino;branca;quinta série fundamental;segunda série fundamental;segunda série fundamental;;;2;2;católica;discorda total;ns;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;ns
NORDESTE;34;urbano;feminino;branca;cursou superior sem concluir;terceira série fundamental;segunda série fundamental;678;3800;4;2;evangélica;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;discorda parcial;discorda total;concorda total;concorda total;discorda parcial;discorda total;discorda total;concorda total;discorda total;concorda total;discorda total;concorda parcial;concorda parcial
SUDESTE;56;urbano;feminino;branca;quarta série fundamental incompleta;primeira série fundamental;primeira série fundamental;1200;1200;5;2;católica;discorda total;neutro;discorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total
NORDESTE;43;urbano;masculino;parda;fundamental completa;não sabe;quinta série fundamental;;;4;2;católica;discorda total;concorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total
SUDESTE;67;urbano;feminino;branca;médio completo;quarta série fundamental incompleta;quarta série fundamental incompleta;3900;7000;4;2;católica;discorda total;ns;discorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;discorda total
SUDESTE;62;urbano;masculino;branca;primeira série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;;;2;2;evangélica;discorda total;ns;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;neutro
SUDESTE;79;urbano;masculino;branca;quarta série fundamental incompleta;analfabeto ou sem instrução;analfabeto ou sem instrução;900;1400;4;2;evangélica;discorda total;ns;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;ns
SUDESTE;53;metropolitano;feminino;branca;terceira série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;;;3;2;evangélica;discorda total;neutro;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda parcial;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial
NORDESTE;28;urbano;feminino;parda;médio completo;sexta série fundamental;sexta série fundamental;678;1200;3;2;evangélica;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total
NORDESTE;57;urbano;feminino;parda;primeira série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;800;800;5;2;católica;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;discorda parcial;concorda total;discorda total;concorda parcial;concorda parcial;concorda total;discorda parcial;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;discorda total;discorda total
SUDESTE;58;urbano;feminino;branca;quarta série fundamental completa;primeira série fundamental;primeira série fundamental;1200;1200;2;2;católica;discorda total;ns;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;discorda total
SUDESTE;18;urbano;feminino;branca;médio completo;quarta série fundamental completa;fundamental completa;1300;1300;3;2;católica;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;discorda total;concorda parcial;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;discorda total
SUDESTE;64;urbano;masculino;branca;fundamental completa;quarta série fundamental completa;quarta série fundamental completa;;;4;2;católica;discorda total;concorda parcial;discorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;neutro;discorda total;discorda parcial;discorda total;discorda total;discorda total
SUDESTE;42;metropolitano;feminino;branca;médio completo;analfabeto ou sem instrução;analfabeto ou sem instrução;1200;1200;1;2;evangélica;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;concorda parcial;concorda parcial;discorda parcial;discorda total;concorda parcial;discorda total;discorda parcial;discorda total;discorda parcial;concorda parcial;concorda parcial;discorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total
NORDESTE;20;urbano;feminino;parda;médio completo;fundamental completa;quarta série fundamental completa;678;678;4;2;católica;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;discorda total;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda total
SUDESTE;66;urbano;feminino;preta;segunda série fundamental;primeira série fundamental;analfabeto ou sem instrução;1000;1000;2;2;evangélica;discorda total;ns;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;ns
SUDESTE;17;urbano;feminino;parda;terceira série médio incompleto;quarta série fundamental completa;fundamental completa;1200;1200;4;2;evangélica;concorda parcial;ns;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total;discorda total;concorda total;concorda total
NORDESTE;46;urbano;feminino;parda;sexta série fundamental;terceira série fundamental;analfabeto ou sem instrução;5000;7000;4;1;católica;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;concorda total;concorda parcial;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;concorda total;concorda total
SUDESTE;59;urbano;feminino;branca;quarta série fundamental completa;terceira série fundamental;terceira série fundamental;1000;1000;2;2;evangélica;discorda total;ns;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;ns
NORDESTE;45;urbano;masculino;parda;quinta série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;678;678;1;2;católica;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total
SUDESTE;55;urbano;feminino;branca;cursou superior sem concluir;médio completo;médio completo;6000;11000;5;2;católica;discorda total;discorda parcial;discorda total;concorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda parcial;discorda total;discorda total;discorda total
SUDESTE;17;metropolitano;masculino;parda;médio completo;superior completo;superior completo;;;4;2;católica;discorda parcial;concorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda parcial;discorda parcial;concorda parcial;discorda total;discorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda parcial;discorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda parcial;concorda parcial;discorda parcial;discorda parcial;concorda parcial;discorda parcial;discorda parcial
SUL;43;urbano;feminino;preta;quarta série fundamental completa;não sabe;não sabe;;1000;2;2;católica;discorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total
SUL;31;urbano;feminino;parda;primeira série médio;primeira série fundamental;analfabeto ou sem instrução;;660;3;2;católica;discorda total;neutro;discorda total;discorda total;concorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda total
SUDESTE;56;metropolitano;feminino;branca;analfabeto ou sem instrução;analfabeto ou sem instrução;analfabeto ou sem instrução;900;900;3;2;católica;discorda total;ns;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;discorda total;ns
NORDESTE;23;urbano;masculino;parda;cursou superior sem concluir;oitava série fundamental incompleta;oitava série fundamental incompleta;;1300;6;2;evangélica;discorda total;neutro;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda parcial
SUDESTE;29;urbano;masculino;parda;médio completo;não conheceu;quarta série fundamental completa;1000;1000;2;2;espírita;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;discorda total
SUL;43;urbano;masculino;parda;sétima série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;3000;4400;3;2;evangélica;discorda total;ns;discorda total;discorda parcial;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda total;discorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial;neutro;concorda total;concorda parcial;discorda total;discorda total;concorda total
SUL;16;urbano;masculino;preta;segunda série médio;quinta série fundamental;sétima série fundamental;;2500;4;2;católica;discorda total;ns;concorda parcial;concorda total;discorda parcial;discorda parcial;discorda total;concorda total;concorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total
SUDESTE;49;metropolitano;feminino;parda;sétima série fundamental;não sabe;não sabe;800;800;1;2;católica;discorda total;discorda total;discorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;discorda parcial;discorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total;discorda parcial;discorda total;concorda total
SUDESTE;65;urbano;masculino;branca;analfabeto ou sem instrução;analfabeto ou sem instrução;analfabeto ou sem instrução;700;1400;4;2;evangélica;discorda total;neutro;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;discorda total;discorda total;neutro
SUDESTE;26;urbano;masculino;parda;cursou superior sem concluir;fundamental completa;quarta série fundamental completa;2000;2000;1;2;católica;discorda total;concorda total;discorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda parcial;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda total
SUL;40;urbano;masculino;parda;médio completo;segunda série fundamental;segunda série fundamental;660;1300;4;2;católica;discorda total;neutro;discorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;discorda total;discorda parcial;concorda total;discorda total;discorda total;discorda parcial
