regiÆo onde foi realizada a entrevista	idade: qual a sua idade (em anos completos)?	 rea	sexo	cor ou ra‡a	£ltima s‚rie escolar que concluiu com aprova‡Æo	at‚ que s‚rie o seu pai estudou	at‚ que s‚rie a sua mÆe estudou	renda total do chefe da fam¡lia no £ltimo mˆs	renda total de todos os moradores (parentes e agregados) no £ltimo mˆs	n£mero de moradores no domic¡lio (parentes e agregados)	no £ltimo mˆs, alguma pessoa deste domic¡lio recebeu rendimentos do bolsa fam¡li	religiÆo	mulheres que usam roupas que mostram o corpo merecem ser atacadas	as mulatas sÆo mais fogosas do que as mulheres brancas	d  para entender que um homem que cresceu em uma fam¡lia violenta agrida sua mul	os homens devem ser a cabe‡a do lar	casos de violˆncia dentro de casa devem ser discutidos somente entre os membros 	incomoda ver dois homens, ou duas mulheres, se beijando na boca em p£blico	se as mulheres soubessem como se comportar, haveria menos estupros	homem que bate na esposa tem que ir para a cadeia	‚ violˆncia falar mentiras sobre uma mulher para os outros	toda mulher sonha em se casar	o que acontece com o casal em casa nÆo interessa aos outros	quando h  violˆncia, os casais devem se separar	casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais	d  pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo	um homem pode xingar e gritar com sua pr¢pria mulher	‚ da natureza do homem ser violento	em briga de marido e mulher, nÆo se mete a colher	a roupa suja deve ser lavada em casa	uma mulher s¢ se sente realizada quando tem filhos/as	a mulher casada deve satisfazer o marido na cama, mesmo quando nÆo tem vontade	piada de preto ‚ s¢ brincadeira, nÆo ‚ racismo	um casal de dois homens vive um amor tÆo bonito quanto entre um homem e uma mulh	mulher que ‚ agredida e continua com o parceiro gosta de apanhar	casamento de homem com homem ou de mulher com mulher deve ser proibido	a mulher que apanha em casa deve ficar quieta para nÆo prejudicar os filhos	a questÆo da violˆncia contra as mulheres recebe mais importƒncia do que merece	tem mulher que ‚ pra casar, tem mulher que ‚ pra cama
SUDESTE	27	metropolitano	masculino	parda	superior completo	superior completo	sexta s‚rie fundamental	3000	3000	3	2	sem	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda parcial	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda parcial	neutro	neutro	discorda total	discorda total	concorda total	neutro	discorda total	discorda total	discorda total	discorda total
SUDESTE	63	metropolitano	masculino	branca	quarta s‚rie fundamental completa	primeira s‚rie fundamental	primeira s‚rie fundamental	1200	1200	2	2	evang‚lica	discorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda total	discorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	concorda parcial
NORDESTE	59	urbano	feminino	parda	terceira s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	378	678	3	1	cat¢lica	concorda total	discorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	discorda total	discorda parcial	concorda total	discorda parcial	concorda total	concorda parcial	concorda total	concorda parcial
SUDESTE	42	metropolitano	masculino	preta	fundamental completa	quinta s‚rie fundamental	quinta s‚rie fundamental	1800	2700	4	2	evang‚lica	discorda total	concorda parcial	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	concorda parcial
SUDESTE	55	metropolitano	feminino	branca	superior completo	m‚dio completo	quarta s‚rie fundamental completa	2000	4000	3	2	cat¢lica	discorda total	concorda total	concorda total	concorda total	discorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	discorda parcial	discorda total	discorda parcial	discorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda total	discorda parcial	concorda total	discorda total	discorda total	discorda total
SUDESTE	48	metropolitano	masculino	preta	quarta s‚rie fundamental completa	segunda s‚rie fundamental	segunda s‚rie fundamental	800	800	2	2	cat¢lica	concorda parcial	discorda total	discorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda parcial	discorda parcial	discorda total	discorda total	discorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda parcial
NORDESTE	28	urbano	masculino	parda	m‚dio completo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	1300	2000	4	1	sem	discorda parcial	neutro	discorda parcial	concorda total	concorda total	discorda parcial	discorda total	concorda total	discorda parcial	discorda total	concorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	concorda total	concorda parcial	concorda parcial	discorda total	discorda parcial	concorda parcial	discorda total	concorda total	discorda parcial	discorda total	concorda total	concorda total
SUDESTE	60	metropolitano	masculino	preta	quarta s‚rie fundamental completa	quarta s‚rie fundamental completa	quarta s‚rie fundamental completa	800	1500	3	2	evang‚lica	discorda total	concorda parcial	discorda total	discorda total	concorda parcial	concorda total	discorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	concorda parcial	discorda total	concorda parcial	concorda total	discorda total	concorda parcial	concorda parcial
NORDESTE	41	urbano	feminino	parda	terceira s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	678	1	1	cat¢lica	discorda total	discorda total	discorda parcial	concorda parcial	concorda total	concorda parcial	discorda total	concorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	discorda total	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	ns	concorda parcial	concorda total	concorda parcial	concorda total
SUDESTE	32	urbano	feminino	branca	m‚dio completo	oitava s‚rie fundamental incompleta	oitava s‚rie fundamental incompleta	1600	1600	5	2	evang‚lica	discorda total	ns	concorda parcial	discorda parcial	discorda total	discorda parcial	discorda total	discorda total	concorda parcial	concorda total	concorda parcial	discorda total	concorda total	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total
SUDESTE	48	metropolitano	feminino	parda	m‚dio completo	terceira s‚rie fundamental	quarta s‚rie fundamental incompleta			6	2	evang‚lica	discorda parcial	discorda parcial	concorda parcial	discorda parcial	concorda parcial	concorda total	concorda parcial	concorda parcial	discorda parcial	discorda parcial	concorda parcial	discorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	discorda parcial	concorda parcial	discorda total	discorda parcial	concorda total	discorda total	discorda total	concorda total
SUDESTE	53	urbano	masculino	parda	oitava s‚rie fundamental incompleta	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	1200	1200	2	2	cat¢lica	discorda total	concorda parcial	discorda total	discorda parcial	discorda total	discorda parcial	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	concorda total	discorda parcial	discorda parcial	discorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda parcial	discorda total	discorda parcial	discorda parcial	discorda total	concorda parcial
SUDESTE	31	metropolitano	feminino	parda	m‚dio completo	quarta s‚rie fundamental completa	quarta s‚rie fundamental completa			1	2	cat¢lica	concorda parcial	discorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda parcial	discorda parcial	discorda parcial	discorda total	discorda total	discorda parcial	discorda total	discorda parcial	concorda parcial	discorda parcial	discorda parcial	discorda total	concorda parcial	discorda parcial	discorda total	concorda parcial
SUDESTE	39	metropolitano	feminino	branca	m‚dio completo	m‚dio completo	terceira s‚rie m‚dio incompleto			4	2	outras	discorda total	discorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	discorda total	discorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda total
SUDESTE	35	metropolitano	feminino	parda	superior completo	quarta s‚rie fundamental completa	quarta s‚rie fundamental completa			3	2	evang‚lica	discorda parcial	discorda parcial	concorda parcial	discorda parcial	discorda parcial	concorda total	discorda parcial	concorda total	discorda total	concorda parcial	concorda total	discorda parcial	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda total	discorda total	discorda total	concorda total	discorda total	neutro	concorda total
SUDESTE	18	urbano	feminino	parda	terceira s‚rie m‚dio incompleto	nÆo sabe	nÆo sabe	2300	2300	4	2	cat¢lica	concorda parcial	discorda total	discorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	concorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial	discorda parcial	discorda total	concorda total	discorda total	discorda parcial	discorda total	discorda total	discorda total
SUDESTE	61	urbano	feminino	branca	quarta s‚rie fundamental completa	nÆo sabe	nÆo sabe	2000		3	2	cat¢lica	discorda total	discorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	neutro	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	ns	ns	ns	ns
SUDESTE	17	urbano	masculino	parda	primeira s‚rie m‚dio	nÆo sabe	quinta s‚rie fundamental	1600	1600	2	2	cat¢lica	discorda total	concorda total	discorda total	concorda total	discorda total	discorda parcial	discorda total	concorda total	discorda total	concorda parcial	concorda parcial	discorda total	concorda total	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	ns	discorda total	discorda parcial	concorda parcial	discorda total	concorda parcial
SUDESTE	51	urbano	feminino	parda	primeira s‚rie m‚dio	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	1100	2000	6	2	esp¡rita	discorda total	ns	discorda total	discorda total	concorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	discorda total
SUDESTE	44	metropolitano	masculino	branca	m‚dio completo	segunda s‚rie fundamental	segunda s‚rie fundamental	2500	3200	4	2	cat¢lica	discorda total	concorda parcial	discorda total	concorda parcial	concorda total	concorda total	discorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	discorda total	discorda total	concorda parcial
SUDESTE	56	urbano	masculino	parda	especializa‡Æo	terceira s‚rie fundamental	terceira s‚rie fundamental	1900	1900	5	2	cat¢lica	discorda total	discorda parcial	discorda total	discorda total	discorda parcial	discorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	concorda total	discorda total	discorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	concorda parcial	discorda parcial	neutro	discorda parcial	concorda parcial	concorda parcial
SUDESTE	34	urbano	masculino	parda	m‚dio completo	m‚dio completo	fundamental completa	3500	3500	4	2	cat¢lica	discorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	discorda parcial	discorda total	concorda total	discorda total	concorda parcial	discorda total	concorda parcial	discorda parcial	discorda parcial	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	concorda parcial	discorda total	discorda parcial	discorda parcial	discorda total	concorda parcial
SUDESTE	29	metropolitano	feminino	preta	fundamental completa	quinta s‚rie fundamental	quarta s‚rie fundamental completa			3	2	evang‚lica	concorda parcial	neutro	discorda total	concorda parcial	concorda parcial	concorda total	discorda total	concorda parcial	discorda total	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda parcial	discorda parcial	discorda total	concorda parcial	concorda total	discorda total	discorda total	concorda parcial
SUDESTE	56	metropolitano	feminino	preta	quinta s‚rie fundamental	primeira s‚rie fundamental	segunda s‚rie fundamental	800	800	2	2	evang‚lica	discorda total	concorda parcial	discorda total	concorda parcial	concorda total	concorda total	discorda total	concorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	discorda total	concorda parcial	concorda total	discorda total	discorda total	concorda parcial
SUDESTE	26	urbano	feminino	parda	superior completo	m‚dio completo	m‚dio completo		3000	2	2	cat¢lica	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total	discorda total	discorda total
SUDESTE	55	metropolitano	masculino	branca	quarta s‚rie fundamental completa	primeira s‚rie fundamental	terceira s‚rie fundamental	1500	2000	3	2	evang‚lica	discorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda total	discorda total	concorda parcial	concorda parcial	discorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	concorda parcial
SUDESTE	48	metropolitano	feminino	branca	fundamental completa	segunda s‚rie fundamental	segunda s‚rie fundamental	1500	2000	3	2	evang‚lica	discorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda total	discorda total	concorda total	discorda total	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda total	concorda parcial	discorda total	concorda parcial	discorda total	concorda parcial	concorda total	discorda total	discorda total	concorda parcial
SUDESTE	49	metropolitano	masculino	branca	m‚dio completo	quarta s‚rie fundamental completa	quarta s‚rie fundamental completa	2000	3000	3	2	cat¢lica	discorda total	concorda parcial	discorda total	concorda parcial	concorda total	concorda total	discorda total	concorda parcial	discorda total	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda parcial	discorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	concorda parcial
SUDESTE	39	urbano	feminino	branca	m‚dio completo	quinta s‚rie fundamental	nÆo sabe	420	420	2	2	evang‚lica	neutro	ns	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	neutro	neutro	neutro	neutro	discorda total	concorda total	neutro	neutro	concorda total	concorda parcial	concorda total	concorda total	discorda total	ns	concorda total
SUDESTE	27	urbano	masculino	branca	m‚dio completo	fundamental completa	s‚tima s‚rie fundamental	1000		3	2	cat¢lica	discorda total	ns	ns	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda parcial	discorda total	discorda parcial	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total
SUDESTE	74	metropolitano	feminino	branca	quarta s‚rie fundamental completa	nÆo sabe	quarta s‚rie fundamental completa	1000	1000	2	2	cat¢lica	discorda total	concorda parcial	concorda total	concorda parcial	discorda parcial	concorda total	concorda total	concorda total	discorda parcial	concorda total	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda parcial	discorda parcial	neutro	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda total
SUDESTE	66	metropolitano	feminino	parda	primeira s‚rie fundamental	primeira s‚rie fundamental	analfabeto ou sem instru‡Æo	1000	1000	3	2	cat¢lica	discorda total	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda total	concorda total	concorda total	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda total	discorda parcial	neutro	concorda parcial	discorda parcial	discorda total	concorda parcial	concorda total
SUDESTE	63	metropolitano	masculino	parda	superior completo	nÆo sabe	nÆo sabe	1800	1800	2	2	cat¢lica	concorda parcial	ns	concorda parcial	concorda total	concorda total	discorda total	discorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	discorda total	discorda total	discorda total	concorda parcial	concorda total	concorda total	discorda parcial	discorda total	concorda total	discorda total	concorda parcial	discorda total	concorda parcial	discorda total	concorda total
SUDESTE	79	urbano	feminino	branca	quarta s‚rie fundamental incompleta	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	1300		5	2	evang‚lica	concorda total	discorda total	concorda parcial	discorda parcial	concorda parcial	concorda total	discorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	neutro	discorda total	concorda total	discorda total	concorda total	concorda total	discorda total	discorda parcial	concorda total
SUDESTE	66	urbano	feminino	branca	quarta s‚rie fundamental completa	nÆo sabe	nÆo sabe	1200	1200	9	2	cat¢lica	discorda parcial	ns	discorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	ns	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda total	ns	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	ns
SUDESTE	66	urbano	feminino	branca	segunda s‚rie fundamental	primeira s‚rie fundamental	primeira s‚rie fundamental	1000	2000	2	2	cat¢lica	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	discorda parcial	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total
SUDESTE	18	urbano	masculino	branca	m‚dio completo	segunda s‚rie fundamental	segunda s‚rie fundamental			4	1	cat¢lica	discorda total	ns	discorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	discorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda total	neutro	ns	concorda total	concorda parcial	discorda total	concorda parcial	ns
SUDESTE	69	urbano	masculino	branca	quarta s‚rie fundamental completa	terceira s‚rie fundamental	terceira s‚rie fundamental	1600	3900	3	2	cat¢lica	discorda total	concorda total	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	neutro	discorda total	discorda parcial	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total
SUDESTE	56	urbano	feminino	preta	terceira s‚rie fundamental	nÆo sabe	nÆo sabe	670	670	5	2	cat¢lica	ns	ns	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	discorda total	concorda total	concorda total	concorda total	ns	discorda total	discorda total	concorda parcial	concorda total	concorda total	concorda parcial	discorda total	concorda total	ns	concorda total	concorda total	discorda total	discorda total	concorda total
SUDESTE	60	urbano	masculino	branca	quarta s‚rie fundamental incompleta	segunda s‚rie fundamental	segunda s‚rie fundamental	1600	3000	2	2	cat¢lica	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda parcial	concorda total	ns	discorda total	discorda total	discorda total	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total
SUDESTE	49	urbano	feminino	branca	primeira s‚rie m‚dio	m‚dio completo	sexta s‚rie fundamental	1500	1500	3	2	evang‚lica	discorda total	neutro	concorda parcial	concorda parcial	neutro	concorda total	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	discorda parcial	discorda total	discorda total	discorda parcial	discorda total	discorda parcial	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda parcial	concorda parcial	discorda parcial	discorda total	discorda total
SUDESTE	49	urbano	feminino	branca	m‚dio completo	quarta s‚rie fundamental incompleta	quarta s‚rie fundamental incompleta			3	2	cat¢lica	discorda total	ns	discorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	neutro	concorda parcial	concorda parcial	concorda total	neutro	discorda total	discorda total	concorda parcial	concorda total	concorda total	concorda parcial	discorda total	concorda total	ns	concorda parcial	concorda total	discorda total	discorda total	neutro
SUDESTE	45	urbano	feminino	parda	fundamental completa	fundamental completa	quinta s‚rie fundamental	1900	1900	4	2	cat¢lica	discorda total	ns	discorda total	concorda total	discorda total	discorda total	discorda total	concorda total	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda parcial	neutro	discorda parcial	neutro	discorda parcial	discorda total	discorda total
SUDESTE	56	urbano	feminino	preta	quarta s‚rie fundamental completa	nÆo sabe	nÆo sabe	670	670	5	2	evang‚lica	discorda total	ns	discorda parcial	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda total	concorda total	concorda total	discorda total	discorda total	ns
SUDESTE	48	urbano	feminino	branca	m‚dio completo	m‚dio completo	m‚dio completo	1800	1800	3	2	cat¢lica	discorda parcial	neutro	discorda total	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	discorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda parcial	concorda parcial	discorda parcial	discorda total	discorda parcial	discorda total	discorda parcial
SUDESTE	16	urbano	feminino	parda	primeira s‚rie m‚dio	quarta s‚rie fundamental completa	quarta s‚rie fundamental incompleta	2000	2000	6	1	cat¢lica	discorda total	concorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	concorda total	concorda parcial	discorda parcial	discorda total	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	discorda total	discorda parcial	concorda parcial	discorda parcial	discorda parcial	concorda parcial	discorda total	discorda total
SUDESTE	18	urbano	feminino	preta	terceira s‚rie m‚dio incompleto	oitava s‚rie fundamental incompleta	quarta s‚rie fundamental completa	1500	1500	5	2	cat¢lica	discorda total	concorda total	discorda total	concorda total	discorda total	discorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	concorda parcial	discorda parcial	discorda total	discorda parcial	discorda total	discorda parcial
SUDESTE	67	urbano	masculino	branca	quarta s‚rie fundamental incompleta	primeira s‚rie fundamental	primeira s‚rie fundamental	1500	5500	4	2	evang‚lica	discorda total	ns	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	discorda parcial	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total
SUDESTE	42	urbano	feminino	parda	fundamental completa	quinta s‚rie fundamental	oitava s‚rie fundamental incompleta	920		2	2	esp¡rita	discorda total	discorda total	discorda total	discorda total	concorda parcial	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda parcial	discorda parcial
SUDESTE	62	urbano	masculino	parda	quinta s‚rie fundamental	segunda s‚rie fundamental	segunda s‚rie fundamental	700	3000	2	2	cat¢lica	discorda total	concorda total	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	ns	discorda total	concorda total	discorda total	discorda total	concorda total
NORDESTE	56	urbano	masculino	parda	primeira s‚rie fundamental	analfabeto ou sem instru‡Æo	primeira s‚rie fundamental	678	678	3	2	cat¢lica	discorda parcial	discorda total	concorda total	concorda parcial	discorda total	concorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	neutro	concorda parcial	concorda total	discorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda total	discorda parcial	concorda total	concorda total	concorda total
SUDESTE	38	metropolitano	feminino	branca	terceira s‚rie m‚dio incompleto	nÆo sabe	nÆo sabe	1000	1000	4	2	cat¢lica	discorda parcial	discorda total	discorda total	discorda parcial	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda total	discorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda total	discorda parcial	discorda total	discorda total	concorda total
NORDESTE	42	urbano	feminino	parda	fundamental completa	quarta s‚rie fundamental incompleta	analfabeto ou sem instru‡Æo	575	575	1	1	cat¢lica	concorda total	concorda parcial	discorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	discorda total	discorda total	concorda total	concorda total
SUDESTE	82	metropolitano	masculino	branca	quarta s‚rie fundamental completa	quarta s‚rie fundamental completa	quarta s‚rie fundamental completa	1000	1000	3	2	cat¢lica	concorda parcial	concorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda parcial	concorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda parcial	discorda parcial	concorda parcial	concorda parcial	discorda total	discorda parcial	discorda parcial	discorda parcial	concorda parcial	discorda parcial	discorda total	discorda parcial	concorda parcial	concorda parcial	discorda parcial	discorda parcial	concorda parcial
SUDESTE	60	metropolitano	masculino	branca	fundamental completa	nÆo sabe	nÆo sabe	750	1400	3	2	cat¢lica	discorda parcial	neutro	discorda parcial	concorda parcial	discorda parcial	discorda total	discorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	concorda parcial	neutro	discorda total	discorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda parcial	neutro	neutro	concorda parcial	concorda parcial	discorda parcial	discorda total	concorda parcial
NORDESTE	34	urbano	feminino	branca	m‚dio completo	primeira s‚rie fundamental	primeira s‚rie fundamental	678	678	3	2	cat¢lica	discorda total	ns	discorda total	discorda total	concorda parcial	discorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda total	discorda total	concorda parcial	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total
NORDESTE	73	urbano	masculino	branca	segunda s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	6678		3	2	cat¢lica	discorda total	concorda parcial	concorda total	concorda total	concorda parcial	discorda total	concorda total	concorda total	concorda parcial	concorda total	discorda total	concorda total	concorda parcial	discorda total	discorda total	concorda total	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda total	concorda total	discorda total	discorda total	concorda parcial
