RAZAO_SOCIAL;ENDERECO;BAIRRO;BANDEIRA;PRECO_VENDA;PRECO_COMPRA;MODALIDADE_DE_COMPRA;FORNECEDOR;DATA_COLETA;CIDADE;UF;COMBUSTIVEL
Dias & Roma Ltda.;Rodovia Ce 021, S/n Km 04;Boa Fé;PETROBRAS DISTRIBUIDORA S.A.;2,599;NaN;-;-;13/09/2016;SOBRAL;CE;GNV
Colaco Martins Comercio de Combustiveis Ltda;Rodovia Ce 040, S/n Km 106;Zona Rural;SP;3,3;2.968;CIF;-;13/09/2016;BEBERIBE;CE;Diesel S10
Posto Sol Derivados de Petróelo Ltda.;Rua Maria Calado, S/n;Beberibe;BRANCA;3,31;NaN;-;-;13/09/2016;BEBERIBE;CE;Diesel S10
Colaco Martins Comercio de Combustiveis Ltda;Rodovia Ce 040, S/n Km 80;Zona Rural;SP;3,35;NaN;-;-;13/09/2016;BEBERIBE;CE;Diesel S10
Colaco Martins Comercio de Combustiveis Ltda;Rodovia Ce 040, Sn Km 66;Zona Rural;PETROBRAS DISTRIBUIDORA S.A.;3,359;2.919;CIF;-;13/09/2016;BEBERIBE;CE;Diesel S10
J & J Pessoa Comercio de Combustiveis Ltda.;Avenida Perimetral, S/n;Canindezinho;IPIRANGA;3,294;NaN;-;-;13/09/2016;CANINDE;CE;Diesel S10
Julienia Silva Pessoa;Rua José Veloso Juca, 2986;Palestina;BRANCA;3,299;NaN;-;-;13/09/2016;CANINDE;CE;Diesel S10
Posto Alto Guaramiranga Ltda.;Rua Raimundo Alcoforado, 267;Alto Guaramiranga;SP;3,299;2.896;CIF;-;13/09/2016;CANINDE;CE;Diesel S10
Posto Estrela Comércio de Combustíveis Ltda.;Avenida Luciano Magalhaes, 105;Bela Vista;RAIZEN;3,299;NaN;-;-;13/09/2016;CANINDE;CE;Diesel S10
Maraponga Petroleo Ltda.;Avenida Dr. Aramis, 121;Centro;RAIZEN;3,299;2.9;CIF;-;13/09/2016;CANINDE;CE;Diesel S10
Posto Sim Ltda;Rua Joaquim Magalhães, 466;Centro;BRANCA;3,31;NaN;-;-;13/09/2016;CANINDE;CE;Diesel S10
E. G. Comercio Varejista de Derivados de Petroleo Ltda;Br 222, S/n Km 01;Zona Rural;PETROBRAS DISTRIBUIDORA S.A.;3,099;NaN;-;-;13/09/2016;CAUCAIA;CE;Diesel S10
Posto Neves e Viana Ltda;Rodovia Br 222 - Km 08, 2590;Parque Soledade;PETROBRAS DISTRIBUIDORA S.A.;3,19;2.906;CIF;-;13/09/2016;CAUCAIA;CE;Diesel S10
Rota do Sol Comercial de Petroleo Ltda;Rodovia Ce 085, S/n Km 03 Via Estruturante;Itapoan;IPIRANGA;3,199;NaN;-;-;13/09/2016;CAUCAIA;CE;Diesel S10
Posto Auto Melo Ltda;Avenida Airton Sena, 376;Arianopolis;PETROBRAS DISTRIBUIDORA S.A.;3,199;NaN;-;-;13/09/2016;CAUCAIA;CE;Diesel S10
M. M. Petróleo Ltda.;Rua Ulisses Guimarães, S/n Qd.05 - Lt.1 e 2;Iparana;RAIZEN;3,199;NaN;-;-;13/09/2016;CAUCAIA;CE;Diesel S10
Posto Melo Ltda.;Rodovia Br 020, Km667;Loteamento Parque Potira;BRANCA;3,199;NaN;-;-;13/09/2016;CAUCAIA;CE;Diesel S10
Cerapeles Derivados de Petroleo Ltda;Rodovia Br 222, S/n Km 06;Tabapua;PETROBRAS DISTRIBUIDORA S.A.;3,249;NaN;-;-;13/09/2016;CAUCAIA;CE;Diesel S10
Severino Almeida Chaves;Br 020 Km 402, S/n Q-31 Lote  N. 05;Jardim Fortaleza;PETROBRAS DISTRIBUIDORA S.A.;3,29;NaN;-;-;13/09/2016;CAUCAIA;CE;Diesel S10
Alves Holanda & Cia Ltda;Rodovia Br 020, S/n Km 408;Tabapua;RAIZEN;3,29;NaN;-;-;13/09/2016;CAUCAIA;CE;Diesel S10
Sobral & Palacio Petroleo Ltda;Rua Coronel Correia, 1701;Centro;PETROBRAS DISTRIBUIDORA S.A.;3,29;2.823;CIF;-;13/09/2016;CAUCAIA;CE;Diesel S10
Mf Comércio de Derivados de Petróleo Ltda;Anel Rodoviário Trecho Br 020 A Ce 065, S/n Km 22;Urucutuba;PETROBRAS DISTRIBUIDORA S.A.;3,29;NaN;-;-;13/09/2016;CAUCAIA;CE;Diesel S10
Comercial Joao Ferreira Petroleo Ltda;Rodovia Br 222, Sn Km 05 Posto;-;IPIRANGA;3,29;2.897;CIF;-;13/09/2016;CAUCAIA;CE;Diesel S10
Boqueirao Comercio de Derivados de Petroleo Ltda;Rodovia Br 222, S/n Km 21;Boqueirão;RAIZEN;3,29;NaN;-;-;13/09/2016;CAUCAIA;CE;Diesel S10
Posto Neves e Viana Ltda;Rodovia Br 222, S/n Km 09;Parque Soledade;PETROBRAS DISTRIBUIDORA S.A.;3,29;2.834;CIF;-;13/09/2016;CAUCAIA;CE;Diesel S10
Posto Primavera Combustiveis Ltda;Rodovia Ce 348, S/n Km 0 + 25m;Zona Rural - Distrito de Primavera;RAIZEN;3,299;2.917;CIF;-;13/09/2016;CAUCAIA;CE;Diesel S10
Posto Rodrigo Ltda - Epp;Rua Sao Vicente de Paulo, 145;Araturi;IPIRANGA;3,299;NaN;-;-;13/09/2016;CAUCAIA;CE;Diesel S10
Ieda Q. Pinheiro - Me;Rua Teodoro de Castro, 35 B;Conjunto Marechal Rondon;SP;3,299;NaN;-;-;13/09/2016;CAUCAIA;CE;Diesel S10
Posto Bandeira Branca Comercio de Combustveis Ltda;Rodovia Br 222, S/n Km 23.1 - Cx Postal Nº 24;Boqueirão  da Arara;SP;3,3;NaN;-;-;13/09/2016;CAUCAIA;CE;Diesel S10
Jf Comercial Petroleo Ltda;Avenida Dom Almeida Lustosa, 1230;Potira;RAIZEN;3,3;2.919;CIF;-;13/09/2016;CAUCAIA;CE;Diesel S10
Auto Posto Portugal Ltda;Avenida Tabuba Cumbuco, S/n Qd 6 2a Etapa;Cumbuco;RAIZEN;3,39;NaN;-;-;13/09/2016;CAUCAIA;CE;Diesel S10
Ms Comércio de Derivados de Petróleo Ltda.;Rodovia Ce 187 Km 31, S/nº Entroncamento C/ Ce 189;Cajas;SP;3,29;NaN;-;-;13/09/2016;CRATEUS;CE;Diesel S10
Raimundo Braz Rodrigues Me;Distrito Montenebo, Sn Lagoa das Pedras dos Braz;Montenebo;BRANCA;3,299;NaN;-;-;13/09/2016;CRATEUS;CE;Diesel S10
Egber Torres & Filhos Ltda;Rodovia Br 226, S/n Km 03;Venâncio;ALESAT;3,299;NaN;-;-;13/09/2016;CRATEUS;CE;Diesel S10
Petropel Petroleo Auto Peças Ltda;Rua Dr Moreira da Rocha, 2130;Fatima;IPIRANGA;3,299;NaN;-;-;13/09/2016;CRATEUS;CE;Diesel S10
J Leitao e Cia Ltda;Rua Frei Vidal da Penha, 1388;Centro;PETROBRAS DISTRIBUIDORA S.A.;3,299;NaN;-;-;13/09/2016;CRATEUS;CE;Diesel S10
Tribus Comércio de Combustíveis Ltda.;Avenida Perimetral Dom Francisco, 707;São Miguel;ALESAT;3,199;NaN;-;-;13/09/2016;CRATO;CE;Diesel S10
Palácio Comercial de Derivados de Petróleo Ltda.;Avenida Padre Cicero, 995;São Miguel;BRANCA;3,25;NaN;-;-;13/09/2016;CRATO;CE;Diesel S10
A P Distribuidora de Petróleo Ltda.;Rua Ratisbona, 131;Centro;ALESAT;3,25;2.886;CIF;-;13/09/2016;CRATO;CE;Diesel S10
M. T. M. Petroleo Ltda;Avenida Padre Cicero, 1832;São Miguel;BRANCA;3,299;NaN;-;-;13/09/2016;CRATO;CE;Diesel S10
Bt Petroleo Ltda;Avenida Joaquim Pinheiro Bezerra de Menezes, 116;Gizelia Pinheiro;PETROBRAS DISTRIBUIDORA S.A.;3,3;NaN;-;-;13/09/2016;CRATO;CE;Diesel S10
Jv Petroleo Ltda;Avenida Padre Cicero, 1141;São Miguel;ALESAT;3,3;NaN;-;-;13/09/2016;CRATO;CE;Diesel S10
1m M Petroleo Ltda;Rua Cicero Araripe, 98;Pimenta;PETROBRAS DISTRIBUIDORA S.A.;3,39;NaN;-;-;15/09/2016;CRATO;CE;Diesel S10
Sobral & Palacio Petroleo Ltda;Rua Engenheiro Alberto Sa, 246, S/n;Nova Aldeota;RAIZEN;3,19;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Cauipe Revendedora de Petroleo Ltda.;Avenida Senador Virgilio Tavora, 1085 0;Meireles;RAIZEN;3,19;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Souza Comércio de Petróleo e Serviços Ltda;Avenida Pontes Vieira, 2250 0;Dionisio Torres;RAIZEN;3,19;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Reis Magos Comercial de Petroleo Ltda;Av Sen. Virgilio Tavora, 2099;Aldeota;PETROBRAS DISTRIBUIDORA S.A.;3,19;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Apiguana Maquinas e Ferramentas Ltda;Av. Duque de Caxias, 959, S/n;Centro;BRANCA;3,199;2.907;CIF;PETROBRAS DISTRIBUIDORA S.A.;12/09/2016;FORTALEZA;CE;Diesel S10
Papagaio Comercio de Derivados de Petroleo Ltda;Avenida Pontes Vieira, 1700;Tauape;PETROBRAS DISTRIBUIDORA S.A.;3,199;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Posto Lauro Maia Ltda;Rua Lauro Maia, 700 0;Fatima;BRANCA;3,199;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Posto Shopping Mangue Ltda;Av. Raul Barbosa, 900, S/n;Pio Xii;IPIRANGA;3,199;2.916;CIF;-;12/09/2016;FORTALEZA;CE;Diesel S10
Posto Atapú Ltda - Epp;Avenida Visconde do Rio Branco, 3826 B;São João do Tauapé;SP;3,199;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Organizaçao Helio Meireles Petroleo Ltda;Avenida Antonio Sales, 1340 0;Aldeota;PETROBRAS DISTRIBUIDORA S.A.;3,199;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Posto Santa Izabel Ltda;Rua Senador Alencar, 1181 0;Centro;PETROBRAS DISTRIBUIDORA S.A.;3,2;2.907;CIF;-;12/09/2016;FORTALEZA;CE;Diesel S10
Organizaçao Helio Meireles Petroleo Ltda;Avenida Senador Virgilio Tavora, 330 0;Meireles;PETROBRAS DISTRIBUIDORA S.A.;3,25;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
L & S Comércio de Combustíveis Ltda.;Avenida Engenheiro Santana Junior, 1240 0;Papiçu;BRANCA;3,259;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Posto Cometa Comércio de Petróleo Ltda.;Avenida da Aboliçao, 3998 C;Mucuripe;PETROBRAS DISTRIBUIDORA S.A.;3,259;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Comercial Tavares de Combustíveis e Lubrificantes Ltda.;Avenida Santos Dumont, 2484 0;Aldeota;IPIRANGA;3,279;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Ribas e Sousa Ltda;Rua Carlos Vasconcelos, 2134 0;Aldeota;SP;3,28;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Posto Guaraci Ltda;Praca Gustavo Barroso, Sn;Jacarecanga;BRANCA;3,28;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Organizaçao Helio Meireles Petroleo Ltda;Avenida Santos Dumont, 5450 0;Papiçu;PETROBRAS DISTRIBUIDORA S.A.;3,284;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Posto Esplanada Ltda;Rua Barao de Aracati, 1747 0;Aldeota;RAIZEN;3,29;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Mp Revendedora de Petróleo Ltda.;Avenida Treze de Maio, 1942;Benfica;PETROBRAS DISTRIBUIDORA S.A.;3,29;2.908;CIF;-;12/09/2016;FORTALEZA;CE;Diesel S10
Vidal Negreiros Petroleo Ltda;Avenida Heraclito Graça, 1510 0;Aldeota;PETROBRAS DISTRIBUIDORA S.A.;3,29;2.919;CIF;-;12/09/2016;FORTALEZA;CE;Diesel S10
Caribe Comercio de Petroleo Ltda;Avenida Engenheiro Santana Junior, 2900 0;Papiçu;PETROBRAS DISTRIBUIDORA S.A.;3,29;2.914;CIF;-;12/09/2016;FORTALEZA;CE;Diesel S10
Cauipe Revendedora de Petroleo Ltda.;Avenida Generalosorio de Paiva, 2818;Bonsucesso;RAIZEN;3,29;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
J C Comercio de Combustivel Ltda;Avenida Presidente Castelo Branco, 3100;Cristo Redentor;PETROBRAS DISTRIBUIDORA S.A.;3,29;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
O & D Comercio de Petroleo Ltda;Avenida Pessoa Anta, 35 0;Praia de Iracema;PETROBRAS DISTRIBUIDORA S.A.;3,29;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
L & S Comércio de Combustíveis Ltda.;Rua Senador Pompeu, 1958;Centro;PETROBRAS DISTRIBUIDORA S.A.;3,29;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Famas Fortaleza Auto Maquinas Ltda;Rua Barao de Studart, 3330;Aldeota;ALESAT;3,29;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
C. M Derivados de Petroleo Ltda;Avenida Gomes de Matos, 38 0;Montese;BRANCA;3,29;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Sobral & Palacio Petroleo Ltda;Rua Carapinima, 2250;Benfica;RAIZEN;3,29;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Imobiliaria Salazar Primo Ltda;Avenida Aguanambi, 384 0;Centro;RAIZEN;3,29;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Universal Petróleo Ltda;Avenida Raul Barbosa, 1330 0;São João do Tauapé;BRANCA;3,29;2.914;CIF;PETROBRAS DISTRIBUIDORA S.A.;12/09/2016;FORTALEZA;CE;Diesel S10
Sobral & Palacio Petroleo Ltda;Avenida Barao de Studart, 2255 0;Aldeota;RAIZEN;3,29;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Dallas Derivados de Petróleo Ltda.;Avenida Godofredo Maciel, 1725 0;Maraponga;BRANCA;3,29;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
José Mendes da Silva Posto de Gasolina;Avenida Aguanambi, 300;José Bonifácio;BRANCA;3,29;2.912;CIF;PETROBRAS DISTRIBUIDORA S.A.;12/09/2016;FORTALEZA;CE;Diesel S10
Cauipe Revendedora de Petroleo Ltda.;Avenida Carapinima, 1756;Benfica;RAIZEN;3,29;2.885;CIF;-;12/09/2016;FORTALEZA;CE;Diesel S10
Ceará Combustíveis Ltda.;Avenida Barao de Studart, 1670 0;Aldeota;BRANCA;3,29;2.913;CIF;PETROBRAS DISTRIBUIDORA S.A.;12/09/2016;FORTALEZA;CE;Diesel S10
Sobral & Palacio Petroleo Ltda;Avenida 13 de Maio, 1488 0;Fatima;RAIZEN;3,29;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Sobral & Palacio Petroleo Ltda;Avenida da Aboliçao, 3395 0;Varjota;PETROBRAS DISTRIBUIDORA S.A.;3,29;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Ceará Combustíveis Ltda.;Rua Dr. Jose Lourenço, 1735;Aldeota;BRANCA;3,29;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Organização Neri de Petróleo Ltda;Avenida Historiador Raimundo Girão, 91 0;Praia de Iracema;PETROBRAS DISTRIBUIDORA S.A.;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Sobral & Palacio Petroleo Ltda;Avenida Santos Dumont, 2035 0;Aldeota;RAIZEN;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Sobral & Palacio Petroleo Ltda;Avenida 13 de Maio, 2235 0;Gentilandia;SP;3,299;2.913;CIF;-;12/09/2016;FORTALEZA;CE;Diesel S10
Gbm Comércio de Combustíveis e Lubrificantes Ltda.;Avenida Rui Barbosa, 2929;Joaquim Távora;PETROBRAS DISTRIBUIDORA S.A.;3,299;2.911;CIF;-;12/09/2016;FORTALEZA;CE;Diesel S10
Sobral & Palacio Petroleo Ltda;Avenida 13 de Maio, 233 0;Fatima;RAIZEN;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Sl Comercial de Combustiveis e Derivados de Petróleo Ltda;Avenida Visconde do Rio Branco, 5922 0;Aerolândia;IPIRANGA;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Posto  Morro do  Ouro Ltda;Rua Coronel Carneiro da Cunha, 503 0;Monte Castelo;PETROBRAS DISTRIBUIDORA S.A.;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Servi Posto Capri Ltda;Rua Barao de Aratanha, 1344 0;Fatima;BRANCA;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Iguatemi Derivados de Petróleo Ltda.;Avenida Santos Dumont, 6130;Papiçu;PETROBRAS DISTRIBUIDORA S.A.;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
L M Revendedora de Petróleo Ltda.;Avenida Visconde do Rio Branco, 6450 Br 116;Aerolandia;ALESAT;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Dallas Derivados de Petróleo Ltda.;Avenida Presidentecastelo Branco, 240;Moura Brasil;BRANCA;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
F. P. Petróleo Ltda.;Avenida Presidente Castelo Branco, 1215 0;Jacarecanga;RAIZEN;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Kg Comércio e Combustíveis Ltda.;Avenida Engenheiro Alberto Sa, 1340 0;Papiçu;PETROBRAS DISTRIBUIDORA S.A.;3,299;2.914;CIF;-;12/09/2016;FORTALEZA;CE;Diesel S10
J C Comercio de Combustivel Ltda;Avenida Antonio Justa, 2400 0;Meireles;IPIRANGA;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Sobral & Palacio Petroleo Ltda;Avenida Padre Antônio Tomaz, 945 A;Aldeota;RAIZEN;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Iguatemi Derivados de Petróleo Ltda.;Avenida Osório de Paiva, 6800;Parangaba;IPIRANGA;3,299;2.93;CIF;-;12/09/2016;FORTALEZA;CE;Diesel S10
Hn Comercial de Petroleo Ltda;Avenida Treze de Maio, 980 0;Fatima;RAIZEN;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Leite Leite Comércio de Combustíveis Ltda.;Avenida Antonio Sales, 902 0;Aldeota;SP;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Petrocar Petroleo e Carros Ltda.;Rua Felinto Barroso, 52;Fatima;RAIZEN;3,299;2.902;CIF;-;12/09/2016;FORTALEZA;CE;Diesel S10
Comercial Tavares de Combustíveis e Lubrificantes Ltda.;Avenida Santos Dumont, 3976 0;Aldeota;IPIRANGA;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Posto Sol Nascente Ltda.;Avenida Francisco Sa, 2321;Jacarecanga;SP;3,299;2.908;CIF;-;12/09/2016;FORTALEZA;CE;Diesel S10
Dampetro Comercio de Derivados de Petroleo Ltda;Avenida Barao de Studart, 1050 0;Aldeota;IPIRANGA;3,299;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Sobral & Palacio Petroleo Ltda;Rua Israel Bezerra, 1155 0;Dionisio Torres;RAIZEN;3,3;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Sobral & Palacio Petroleo Ltda;Rua Costa Barros, 1515 0;Aldeota;RAIZEN;3,3;NaN;-;-;12/09/2016;FORTALEZA;CE;Diesel S10
Lourival Augusto e Silva;Avenida Nogueira Acioly, 1341;Centro;SETTA DISTRIBUIDORA;3,199;2.858;CIF;-;13/09/2016;ICO;CE;Diesel S10
Yara Jane Jerônimo de Santana Combustível;Rua Desembargador José Bastos, 623;Centro;BRANCA;3,199;NaN;-;-;13/09/2016;ICO;CE;Diesel S10
Auto Posto Pedro Barreto Ltda;Avenida Nogueira Acioly, 1020 Terreo;Centro;PETROBRAS DISTRIBUIDORA S.A.;3,224;2.866;CIF;-;13/09/2016;ICO;CE;Diesel S10
Lourival Augusto e Silva;Rodovia Br 116, S/n Km 364;;BRANCA;3,289;NaN;-;-;13/09/2016;ICO;CE;Diesel S10
Comercial de Petroleo Moreira Pequeno Ltda;Rodovia Ce 282, S/n Km 20;Cascudo;BRANCA;3,45;2.917;CIF;PETROBRAS DISTRIBUIDORA S.A.;13/09/2016;ICO;CE;Diesel S10
M V L Bezerra de Oliveira;Vila Alencar, S/n Rod. Ce 282;Centro;ALESAT;3,099;NaN;-;-;13/09/2016;IGUATU;CE;Diesel S10
M & A Combustiveis Ltda;Rodovia Dr. Joao Pessoa, 832;Centro;SP;3,199;NaN;-;-;13/09/2016;IGUATU;CE;Diesel S10
Alfredo Felipe Vieira - Me.;Rua Guilherme de Oliveira, 21;Centro;SP;3,199;2.897;CIF;-;13/09/2016;IGUATU;CE;Diesel S10
Auto Posto Icavel Ltda;Rua Deoclecio Lima Verde, 37;Areias;BRANCA;3,199;NaN;-;-;13/09/2016;IGUATU;CE;Diesel S10
Mendonça Alencar e Cia Ltda;Rua Amalia Brasil, 1010;Água Azul;BRANCA;3,199;NaN;-;-;13/09/2016;IGUATU;CE;Diesel S10
A Alexandre e Companhia;Rua Cruzeiro do Sul, 996;Alto do Juca;BRANCA;3,259;2.861;CIF;PETROBRAS DISTRIBUIDORA S.A.;13/09/2016;IGUATU;CE;Diesel S10
Petroleo Sao Pedro Ltda;Avenida Ceara, 2555;Várzea do Jiló;SATELITE;3,29;NaN;-;-;13/09/2016;IPU;CE;Diesel S10
Fr Petroleo Ltda;Avenida Jose Lourenço, S/n;Centro;IPIRANGA;3,299;2.904;CIF;-;13/09/2016;IPU;CE;Diesel S10
Comercial de Petróleo São Vicente Ltda.;Rodovia Ce 187, S/n Entroc. C/rod Ce-257;Zona Rural;SATELITE;3,299;NaN;-;-;13/09/2016;IPU;CE;Diesel S10
Ipuçaba Comercial de Combustíveis Ltda.;Rua Cel. José Lourenço, 51;Centro;SP;3,299;NaN;-;-;13/09/2016;IPU;CE;Diesel S10
Comercial de Petroleo Santo Antonio Ltda;Avenida Cel Jose Lourenco, 821;Centro;SP;3,299;2.866;CIF;-;13/09/2016;IPU;CE;Diesel S10
Ipuçaba Comercial de Combustíveis Ltda.;Avenida Boulevard Sebastião Carlos, 1240;Alto dos 14;BRANCA;3,319;NaN;-;-;13/09/2016;IPU;CE;Diesel S10
Empresa de Combustiveis Sao Cristovao Ltda;Avenida Anastacio Braga, 4445;Cacimbas;SP;3,31;NaN;-;-;13/09/2016;ITAPIPOCA;CE;Diesel S10
Posto Bandeira Branca Comercio de Combustveis Ltda;Avenida Monsenhor Tabosa, 3199;Julio;SP;3,31;2.917;CIF;-;13/09/2016;ITAPIPOCA;CE;Diesel S10
Comercial Itapipoquense de Combustíveis Ltda.;Avenida Monsenhor Tabosa, 3019;Julho;PETROBRAS DISTRIBUIDORA S.A.;3,31;NaN;-;-;13/09/2016;ITAPIPOCA;CE;Diesel S10
Comercial de Combustiveis Almeida Bastos Ltda;Avenida Anastacio Braga, 974;Centro;SP;3,31;2.918;CIF;-;13/09/2016;ITAPIPOCA;CE;Diesel S10
Comercial Itapipoquense de Combustíveis Ltda.;Avenida Anastacio Braga, 2000;Fazendinha;PETROBRAS DISTRIBUIDORA S.A.;3,31;2.857;CIF;-;13/09/2016;ITAPIPOCA;CE;Diesel S10
Empresa de Combustível São Cristóvão Ii Ltda.;Rua Vicente Seabra, 1747;Coqueiro;SP;3,319;NaN;-;-;13/09/2016;ITAPIPOCA;CE;Diesel S10
São Pedro Comercial de Petróleo Ltda.;Margem Direita da Ce 085 Km 15 Estruturante, S/n;Betania;SP;3,319;NaN;-;-;13/09/2016;ITAPIPOCA;CE;Diesel S10
M. G. Derivados de Petroleo Ltda;Avenida Castelo Branco, 3170;Novo Juazeiro;BRANCA;3,19;NaN;-;-;13/09/2016;JUAZEIRO DO NORTE;CE;Diesel S10
José Paulo da Silva Petróleo;Avenida Virgilio Tavora, 1914;Pio Xii;BRANCA;3,19;NaN;-;-;13/09/2016;JUAZEIRO DO NORTE;CE;Diesel S10
M D Petroleo Ltda;Avenida Castelo Branco, 618;Pirajá;BRANCA;3,199;NaN;-;-;13/09/2016;JUAZEIRO DO NORTE;CE;Diesel S10
Urbano Comércio de Lubrificantes Ltda;Rua José Andrade de Lavor, 2734;Romeirão;PETROBRAS DISTRIBUIDORA S.A.;3,199;2.887;CIF;-;13/09/2016;JUAZEIRO DO NORTE;CE;Diesel S10
Tribus Comércio de Combustíveis Ltda.;Avenida Padre Cicero, 5211;São José;ALESAT;3,199;NaN;-;-;13/09/2016;JUAZEIRO DO NORTE;CE;Diesel S10
Araujo Petroleo Ltda;Avenida Castelo Branco, 253;Santa Teresa;PETROBRAS DISTRIBUIDORA S.A.;3,28;NaN;-;-;13/09/2016;JUAZEIRO DO NORTE;CE;Diesel S10
F. P. Petróleo Ltda.;Avenida Padre Cícero, S/n;Santa Tereza;BRANCA;3,39;2.877;CIF;PETROBRAS DISTRIBUIDORA S.A.;13/09/2016;JUAZEIRO DO NORTE;CE;Diesel S10
M T D F Petroleo Ltda;Avenida Padre Cicero, 2200;Fatima;BRANCA;3,43;NaN;-;-;13/09/2016;JUAZEIRO DO NORTE;CE;Diesel S10
Marciano Comércio de Combustíveis e Lubrificantes Ltda;Avenida Padre Cicero, 2506;Triangulo;ALESAT;3,45;NaN;-;-;13/09/2016;JUAZEIRO DO NORTE;CE;Diesel S10
Ags Comércio de Combustíveis Ltda.;Sitio Tomé, S/n Chapada do Apodi;Zona Rural;BRANCA;3,299;2.92;CIF;PETROBRAS DISTRIBUIDORA S.A.;13/09/2016;LIMOEIRO DO NORTE;CE;Diesel S10
Bezerra e Filho Ltda;Avenida Dom Aureliano Matos, 1751;Centro;PETROBRAS DISTRIBUIDORA S.A.;3,31;NaN;-;-;13/09/2016;LIMOEIRO DO NORTE;CE;Diesel S10
Gurgel Lobo Comercio de Deriv. de Petroleo Ltda;Rua Coronel Antonio Joaquim, 1060;Centro;PETROBRAS DISTRIBUIDORA S.A.;3,319;NaN;-;-;13/09/2016;LIMOEIRO DO NORTE;CE;Diesel S10
Cauipe Revendedora de Petroleo Ltda.;Rodovia Fortaleza Maranguape, 7798;Siqueira;RAIZEN;3,09;NaN;-;-;15/09/2016;MARACANAU;CE;Diesel S10
Comercial Stanislaw Ltda - Epp;Avenida Anel Viario, Sn Km 18;Siqueira;SP;3,19;NaN;-;-;13/09/2016;MARACANAU;CE;Diesel S10
Sobral & Palacio Petroleo Ltda;Avenida Mendel Steinbruch, 3800;Pajuçara;SP;3,19;2.898;FOB;-;13/09/2016;MARACANAU;CE;Diesel S10
Posto Maracanaú Ltda;Avenida Padre José Holanda do Vale, 1743 0;Piratininga;SP;3,19;NaN;-;-;13/09/2016;MARACANAU;CE;Diesel S10
L & S Comércio de Combustíveis Ltda.;Rodovia Doutor Mendel Steinbruch, 9953 0;Pajuçara;PETROBRAS DISTRIBUIDORA S.A.;3,196;NaN;-;-;13/09/2016;MARACANAU;CE;Diesel S10
